bi.Response,bi.InA,bi.InB,bi.InC,bi.InD
0,380,3.61,Rank3,No
1,660,3.67,Rank3,No
1,800,4,Rank1,No
1,640,3.19,Rank4,No
0,520,2.93,Rank4,No
1,760,3,Rank2,No
1,560,2.98,Rank1,Yes
0,400,3.08,Rank2,No
1,540,3.39,Rank3,Yes
0,700,3.92,Rank2,Yes
0,800,4,Rank4,No
0,440,3.22,Rank1,No
1,760,4,Rank1,Yes
0,700,3.08,Rank2,No
1,700,4,Rank1,No
0,480,3.44,Rank3,No
0,780,3.87,Rank4,No
0,360,2.56,Rank3,No
0,800,3.75,Rank2,Yes
1,540,3.81,Rank1,No
0,500,3.17,Rank3,No
1,660,3.63,Rank2,No
0,600,2.82,Rank4,No
0,680,3.19,Rank4,No
1,760,3.35,Rank2,No
1,800,3.66,Rank1,No
1,620,3.61,Rank1,No
1,520,3.74,Rank4,Yes
1,780,3.22,Rank2,Yes
0,520,3.29,Rank1,Yes
0,540,3.78,Rank4,Yes
0,760,3.35,Rank3,No
0,600,3.4,Rank3,No
1,800,4,Rank3,No
0,360,3.14,Rank1,No
0,400,3.05,Rank2,No
0,580,3.25,Rank1,No
0,520,2.9,Rank3,Yes
1,500,3.13,Rank2,No
1,520,2.68,Rank3,Yes
0,560,2.42,Rank2,No
1,580,3.32,Rank2,No
1,600,3.15,Rank2,No
0,500,3.31,Rank3,Yes
0,700,2.94,Rank2,No
1,460,3.45,Rank3,Yes
1,580,3.46,Rank2,No
0,500,2.97,Rank4,Yes
0,440,2.48,Rank4,No
0,400,3.35,Rank3,No
0,640,3.86,Rank3,No
0,440,3.13,Rank4,No
0,740,3.37,Rank4,Yes
1,680,3.27,Rank2,Yes
0,660,3.34,Rank3,Yes
1,740,4,Rank3,Yes
0,560,3.19,Rank3,No
0,380,2.94,Rank3,No
0,400,3.65,Rank2,No
0,600,2.82,Rank4,Yes
1,620,3.18,Rank2,No
0,560,3.32,Rank4,Yes
0,640,3.67,Rank3,No
1,680,3.85,Rank3,No
0,580,4,Rank3,Yes
0,600,3.59,Rank2,No
0,740,3.62,Rank4,Yes
0,620,3.3,Rank1,No
0,580,3.69,Rank1,Yes
0,800,3.73,Rank1,Yes
0,640,4,Rank3,No
0,300,2.92,Rank4,Yes
0,480,3.39,Rank4,Yes
0,580,4,Rank2,No
0,720,3.45,Rank4,Yes
0,720,4,Rank3,No
0,560,3.36,Rank3,No
1,800,4,Rank3,Yes
0,540,3.12,Rank1,No
1,620,4,Rank1,No
0,700,2.9,Rank4,Yes
0,620,3.07,Rank2,Yes
0,500,2.71,Rank2,No
0,380,2.91,Rank4,Yes
1,500,3.6,Rank3,No
0,520,2.98,Rank2,Yes
0,600,3.32,Rank2,No
0,600,3.48,Rank2,No
0,700,3.28,Rank1,No
1,660,4,Rank2,Yes
0,700,3.83,Rank2,Yes
1,720,3.64,Rank1,Yes
0,800,3.9,Rank2,No
0,580,2.93,Rank2,Yes
1,660,3.44,Rank2,No
0,660,3.33,Rank2,Yes
0,640,3.52,Rank4,Yes
0,480,3.57,Rank2,Yes
0,700,2.88,Rank2,No
0,400,3.31,Rank3,Yes
0,340,3.15,Rank3,No
0,580,3.57,Rank3,No
0,380,3.33,Rank4,Yes
0,540,3.94,Rank3,Yes
1,660,3.95,Rank2,No
1,740,2.97,Rank2,No
1,700,3.56,Rank1,Yes
0,480,3.13,Rank2,Yes
0,400,2.93,Rank3,Yes
0,480,3.45,Rank2,No
0,680,3.08,Rank4,No
0,420,3.41,Rank4,No
0,360,3,Rank3,Yes
0,600,3.22,Rank1,No
0,720,3.84,Rank3,Yes
0,620,3.99,Rank3,No
1,440,3.45,Rank2,No
0,700,3.72,Rank2,Yes
1,800,3.7,Rank1,Yes
0,340,2.92,Rank3,No
1,520,3.74,Rank2,Yes
1,480,2.67,Rank2,No
0,520,2.85,Rank3,No
0,500,2.98,Rank3,No
0,720,3.88,Rank3,Yes
0,540,3.38,Rank4,Yes
1,600,3.54,Rank1,Yes
0,740,3.74,Rank4,Yes
0,540,3.19,Rank2,Yes
0,460,3.15,Rank4,No
1,620,3.17,Rank2,Yes
0,640,2.79,Rank2,Yes
0,580,3.4,Rank2,Yes
0,500,3.08,Rank3,No
0,560,2.95,Rank2,No
0,500,3.57,Rank3,Yes
0,560,3.33,Rank4,No
0,700,4,Rank3,Yes
0,620,3.4,Rank2,No
1,600,3.58,Rank1,No
0,640,3.93,Rank2,Yes
1,700,3.52,Rank4,Yes
0,620,3.94,Rank4,No
0,580,3.4,Rank3,Yes
0,580,3.4,Rank4,Yes
0,380,3.43,Rank3,Yes
0,480,3.4,Rank2,Yes
0,560,2.71,Rank3,Yes
1,480,2.91,Rank1,No
0,740,3.31,Rank1,No
1,800,3.74,Rank1,Yes
0,400,3.38,Rank2,No
1,640,3.94,Rank2,No
0,580,3.46,Rank3,Yes
0,620,3.69,Rank3,Yes
1,580,2.86,Rank4,Yes
0,560,2.52,Rank2,Yes
1,480,3.58,Rank1,Yes
0,660,3.49,Rank2,No
0,700,3.82,Rank3,Yes
0,600,3.13,Rank2,Yes
0,640,3.5,Rank2,Yes
1,700,3.56,Rank2,No
0,520,2.73,Rank2,Yes
0,580,3.3,Rank2,Yes
0,700,4,Rank1,No
0,440,3.24,Rank4,Yes
0,720,3.77,Rank3,No
0,500,4,Rank3,No
0,600,3.62,Rank3,No
0,400,3.51,Rank3,No
0,540,2.81,Rank3,No
0,680,3.48,Rank3,No
1,800,3.43,Rank2,Yes
0,500,3.53,Rank4,Yes
1,620,3.37,Rank2,No
0,520,2.62,Rank2,No
1,620,3.23,Rank3,Yes
0,620,3.33,Rank3,No
0,300,3.01,Rank3,No
0,620,3.78,Rank3,Yes
0,500,3.88,Rank4,Yes
0,700,4,Rank2,Yes
1,540,3.84,Rank2,Yes
0,500,2.79,Rank4,Yes
0,800,3.6,Rank2,No
0,560,3.61,Rank3,Yes
0,580,2.88,Rank2,Yes
0,560,3.07,Rank2,Yes
0,500,3.35,Rank2,Yes
1,640,2.94,Rank2,No
0,800,3.54,Rank3,Yes
0,640,3.76,Rank3,Yes
0,380,3.59,Rank4,Yes
1,600,3.47,Rank2,No
0,560,3.59,Rank2,No
0,660,3.07,Rank3,No
1,400,3.23,Rank4,No
0,600,3.63,Rank3,Yes
0,580,3.77,Rank4,No
0,800,3.31,Rank3,No
1,580,3.2,Rank2,Yes
1,700,4,Rank1,No
0,420,3.92,Rank4,No
1,600,3.89,Rank1,No
1,780,3.8,Rank3,Yes
0,740,3.54,Rank1,No
1,640,3.63,Rank1,Yes
0,540,3.16,Rank3,Yes
0,580,3.5,Rank2,No
0,740,3.34,Rank4,Yes
0,580,3.02,Rank2,No
0,460,2.87,Rank2,No
0,640,3.38,Rank3,No
1,600,3.56,Rank2,No
1,660,2.91,Rank3,Yes
0,340,2.9,Rank1,No
1,460,3.64,Rank1,Yes
0,460,2.98,Rank1,No
1,560,3.59,Rank2,Yes
0,540,3.28,Rank3,Yes
0,680,3.99,Rank3,No
1,480,3.02,Rank1,No
0,800,3.47,Rank3,No
0,800,2.9,Rank2,Yes
1,720,3.5,Rank3,Yes
0,620,3.58,Rank2,Yes
0,540,3.02,Rank4,Yes
0,480,3.43,Rank2,No
1,720,3.42,Rank2,No
0,580,3.29,Rank4,Yes
0,600,3.28,Rank3,Yes
0,380,3.38,Rank2,No
0,420,2.67,Rank3,Yes
1,800,3.53,Rank1,No
0,620,3.05,Rank2,Yes
1,660,3.49,Rank2,No
0,480,4,Rank2,No
0,500,2.86,Rank4,No
0,700,3.45,Rank3,Yes
0,440,2.76,Rank2,No
1,520,3.81,Rank1,Yes
1,680,2.96,Rank3,Yes
0,620,3.22,Rank2,Yes
0,540,3.04,Rank1,No
0,800,3.91,Rank3,Yes
0,680,3.34,Rank2,Yes
0,440,3.17,Rank2,No
0,680,3.64,Rank3,No
0,640,3.73,Rank3,No
0,660,3.31,Rank4,Yes
0,620,3.21,Rank4,No
1,520,4,Rank2,No
1,540,3.55,Rank4,Yes
1,740,3.52,Rank4,Yes
0,640,3.35,Rank3,Yes
1,520,3.3,Rank2,Yes
1,620,3.95,Rank3,No
0,520,3.51,Rank2,No
0,640,3.81,Rank2,Yes
0,680,3.11,Rank2,Yes
0,440,3.15,Rank2,No
1,520,3.19,Rank3,No
1,620,3.95,Rank3,No
1,520,3.9,Rank3,Yes
0,380,3.34,Rank3,Yes
0,560,3.24,Rank4,Yes
1,600,3.64,Rank3,Yes
1,680,3.46,Rank2,Yes
0,500,2.81,Rank3,No
1,640,3.95,Rank2,No
0,540,3.33,Rank3,Yes
1,680,3.67,Rank2,Yes
0,660,3.32,Rank1,Yes
0,520,3.12,Rank2,Yes
1,600,2.98,Rank2,Yes
0,460,3.77,Rank3,No
1,580,3.58,Rank1,Yes
1,680,3,Rank4,Yes
1,660,3.14,Rank2,Yes
0,660,3.94,Rank2,No
0,360,3.27,Rank3,Yes
0,660,3.45,Rank4,No
0,520,3.1,Rank4,No
1,440,3.39,Rank2,No
0,600,3.31,Rank4,Yes
1,800,3.22,Rank1,No
1,660,3.7,Rank4,No
0,800,3.15,Rank4,Yes
0,420,2.26,Rank4,No
1,620,3.45,Rank2,Yes
0,800,2.78,Rank2,No
0,680,3.7,Rank2,No
0,800,3.97,Rank1,Yes
0,480,2.55,Rank1,No
0,520,3.25,Rank3,Yes
0,560,3.16,Rank1,No
0,460,3.07,Rank2,Yes
0,540,3.5,Rank2,Yes
0,720,3.4,Rank3,No
0,640,3.3,Rank2,No
1,660,3.6,Rank3,Yes
1,400,3.15,Rank2,Yes
1,680,3.98,Rank2,Yes
0,220,2.83,Rank3,Yes
0,580,3.46,Rank4,Yes
1,540,3.17,Rank1,Yes
0,580,3.51,Rank2,Yes
0,540,3.13,Rank2,No
0,440,2.98,Rank3,Yes
0,560,4,Rank3,No
0,660,3.67,Rank2,Yes
0,660,3.77,Rank3,Yes
1,520,3.65,Rank4,Yes
0,540,3.46,Rank4,Yes
1,300,2.84,Rank2,Yes
1,340,3,Rank2,Yes
1,780,3.63,Rank4,No
1,480,3.71,Rank4,No
0,540,3.28,Rank1,Yes
0,460,3.14,Rank3,Yes
0,460,3.58,Rank2,No
0,500,3.01,Rank4,No
0,420,2.69,Rank2,Yes
0,520,2.7,Rank3,Yes
0,680,3.9,Rank1,No
0,680,3.31,Rank2,No
1,560,3.48,Rank2,No
0,580,3.34,Rank2,Yes
0,500,2.93,Rank4,No
0,740,4,Rank3,Yes
0,660,3.59,Rank3,No
0,420,2.96,Rank1,Yes
0,560,3.43,Rank3,Yes
1,460,3.64,Rank3,No
1,620,3.71,Rank1,No
0,520,3.15,Rank3,No
0,620,3.09,Rank4,No
0,540,3.2,Rank1,No
1,660,3.47,Rank3,Yes
0,500,3.23,Rank4,No
1,560,2.65,Rank3,No
0,500,3.95,Rank4,Yes
0,580,3.06,Rank2,No
0,520,3.35,Rank3,No
0,500,3.03,Rank3,Yes
0,600,3.35,Rank2,Yes
0,580,3.8,Rank2,No
0,400,3.36,Rank2,No
0,620,2.85,Rank2,No
1,780,4,Rank2,Yes
0,620,3.43,Rank3,No
1,580,3.12,Rank3,No
0,700,3.52,Rank2,Yes
1,540,3.78,Rank2,No
1,760,2.81,Rank1,Yes
0,700,3.27,Rank2,Yes
0,720,3.31,Rank1,No
1,560,3.69,Rank3,No
0,720,3.94,Rank3,No
1,520,4,Rank1,Yes
1,540,3.49,Rank1,Yes
0,680,3.14,Rank2,Yes
0,460,3.44,Rank2,No
1,560,3.36,Rank1,No
0,480,2.78,Rank3,No
0,460,2.93,Rank3,Yes
0,620,3.63,Rank3,No
0,580,4,Rank1,Yes
0,800,3.89,Rank2,Yes
1,540,3.77,Rank2,No
1,680,3.76,Rank3,No
1,680,2.42,Rank1,Yes
1,620,3.37,Rank1,Yes
0,560,3.78,Rank2,No
0,560,3.49,Rank4,No
0,620,3.63,Rank2,No
1,800,4,Rank2,No
0,640,3.12,Rank3,Yes
0,540,2.7,Rank2,Yes
0,700,3.65,Rank2,Yes
1,540,3.49,Rank2,Yes
0,540,3.51,Rank2,No
0,660,4,Rank1,Yes
1,480,2.62,Rank2,Yes
0,420,3.02,Rank1,Yes
1,740,3.86,Rank2,Yes
0,580,3.36,Rank2,Yes
0,640,3.17,Rank2,No
0,640,3.51,Rank2,No
1,800,3.05,Rank2,Yes
1,660,3.88,Rank2,Yes
1,600,3.38,Rank3,Yes
1,620,3.75,Rank2,No
1,460,3.99,Rank3,Yes
0,620,4,Rank2,No
0,560,3.04,Rank3,Yes
0,460,2.63,Rank2,Yes
0,700,3.65,Rank2,Yes
0,600,3.89,Rank3,Yes
